,year,state,tot_imprisoned,tot_black_imprisoned,tot_white_imprisoned
91,1991,SC,982.8391304347826,1994.6230579710145,471.70369565217396
92,1991,SD,428.1351793456839,7333.412666666666,339.4000726744186
93,1991,TN,604.2071578947368,1127.3188297872339,211.50684210526325
94,1991,TX,911.7926961070085,8691.228402731598,555.6791245849078
95,1991,UT,504.7072669220945,31228.09294736843,454.650413105413
96,1991,VA,683.9307245752278,2701.8536710448643,351.2714334266294
97,1991,VT,0.0,0.0,0.0
98,1991,WA,493.7545681511471,4153.534607142858,391.34218623481786
99,1991,WI,329.24957746478873,7059.015000000001,278.76208488612826
100,1991,WV,313.2472626262626,16670.272808349146,229.79135145784085
101,1991,WY,197.9073913043478,2361.116470588235,157.60454545454547
102,1992,AK,150.37750000000003,0.0,130.73
103,1992,AL,768.6676119402982,2172.2782054924246,388.5873362658847
